beam_height,beam_length,fillet_size,beam_width,modal_frequency_1,modal_frequency_2,modal_frequency_3,modal_frequency_4,max_deformation,max_stress 
17.0,10.0,0.1,0.48,205.05381233993907,1355.5467526851955,1415.9881063703365,1499.3418857396448,0.05977551266551018,3.0420708031177397
17.0,11.4,0.1,0.48,177.21934576918736,1259.1877651137395,1394.2654876754873,1429.8794327474036,0.07995138317346573,3.688504278413584
17.0,12.8,0.1,0.48,141.76344679879654,1165.0949460627553,1323.9090051708781,1364.0673220724027,0.1250574141740799,3.673282834974996
17.0,14.2,0.1,0.48,130.93295147354368,1088.6706023293445,1224.8217856641836,1300.0266133550772,0.14715756475925446,4.268877142877459
17.0,15.6,0.1,0.48,106.93212064958435,1037.0243997783607,1221.8779667665813,1262.5335647419313,0.21954751014709473,3.390425775724729
17.0,17.0,0.1,0.48,99.19312662248956,962.0908223723218,1074.360595812341,1092.3232196828903,0.2561274468898773,3.3512689438608025
20.0,10.0,0.1,0.48,258.916809273645,1353.2850780975045,1392.503623246127,1566.311157403207,0.03772008791565895,3.0170018490211725
20.0,11.4,0.1,0.48,188.4791667893241,1267.8483745513922,1358.4521956802982,1497.5741340410896,0.07077398151159286,3.3884994721546033
20.0,12.8,0.1,0.48,160.39947837422753,1192.7932475701432,1339.7394668477805,1437.824906436318,0.09753607958555222,3.0094681177739386
20.0,14.2,0.1,0.48,143.19551332392146,1111.4862736062541,1285.3923059220617,1375.7871498190616,0.12259705364704132,3.0379281769779705
20.0,15.6,0.1,0.48,124.7398367032665,1057.0039235745617,1232.9857681710803,1326.7355378163168,0.161556214094162,3.191775600339188
20.0,17.0,0.1,0.48,111.92474045760446,995.0520763312416,1112.710470742822,1256.9779138892654,0.20078390836715698,3.258397060759552
5.0,10.0,0.1,0.56,183.08210954213993,860.427103006765,946.047311437953,1589.7316775927818,0.07491898536682129,3.3292805993249805
5.0,11.4,0.1,0.56,156.72759415705468,803.4026642309867,851.3890934406385,1480.0861789020241,0.10249486565589905,3.3097900429232965
5.0,12.8,0.1,0.56,137.5500070874167,754.8344543912009,772.4940796974886,1156.126806447425,0.1336396336555481,3.749023504240253
5.0,14.2,0.1,0.56,124.04722544080472,704.3624205521946,712.8749589820019,978.0535339398778,0.1647944450378418,3.4592495433454187
5.0,15.6,0.1,0.56,112.97505423160587,632.7456719572014,672.748010622356,733.6365048888408,0.20047913491725922,3.3940067421975746
5.0,17.0,0.1,0.56,104.82124617279764,567.3505059970703,629.0113211907126,655.3523599572769,0.23342165350914001,3.3948750554529066
8.0,10.0,0.1,0.56,201.95312292843516,1162.3465282716577,1210.6884878744636,1601.7923241394383,0.061618827283382416,2.731717625839781
8.0,11.4,0.1,0.56,173.21903818706957,1095.5250543530462,1096.5303664638545,1531.9575573152933,0.08385356515645981,2.9963140117506963
8.0,12.8,0.1,0.56,152.2648973527079,1005.3335535857448,1040.341613473412,1364.9339933963597,0.1089015007019043,2.939244207729638
8.0,14.2,0.1,0.56,132.54872155927052,924.2837629050983,990.8837823946428,1137.0176149630154,0.14406102895736694,3.235287576237965
